"lemma","poscode","surface"
"visor colorido","3","visor colorido"
"computador de bordo","3","computador de bordo","Computador de bordo"
"velocímetro digital","3","velocímetro digital"
"sensor de pressão","3","sensor de pressão"
"tela","3","tela"
"TFT","3","TFT"
"3,5 polegadas","3","3,5 polegadas","7 polegadas","10 polegadas","5 polegadas"
"central multimídia","3","central multimídia"
"UConnect","3","UConnect"
"Apple CarPlay","3","Apple CarPlay","Apple Car"
"Android Auto","3","Android Auto"
"multimídia","3","multimídia","Multimídia"
"acessórios","3","acessórios"
"completo","3","completo"
"luz de leitura","3","luz de leitura","luz","luz de cortesia"
"porta óculos","3","porta óculos","porta-óculos"
"porta objeto","3","porta objeto"
"porta copos","3","porta copos"
"porta-trecos","4","porta-trecos"
"apoio de braço","4","apoio de braço"
"som","4","som"
"conectividade","4","conectividade"
"equipamentos","4","equipamentos"
"aplicativo no celular","4","aplicativo no celular"
"carregamento sem fio","4","carregamento sem fio"
"internet Wi-Fi","4","internet Wi-Fi"
"alerta de pontos cegos","4","alerta de pontos cegos"
"assistente de estacionamento","4","assistente de estacionamento"
"rádio","4","rádio"
"câmera de ré","4","câmera de ré"
"eletrônica embarcada","4","eletrônica embarcada"
"pacote de tecnologia","4","pacote de tecnologia"
"Som","4","Som"
"opcionais","3","opcionais"
"computador","3","computador","Computador"
"polegadas","3","polegadas"
"kit multimídia","4","kit multimídia"
"equipado","4","equipado","equipada"
"indicador de pressão","4","indicador de pressão"
"chave presencial","4","chave presencial"
"retrovisor interno","4","retrovisor interno"
"câmera de ré","4","câmera de ré"
"arquitetura eletrônica","4","arquitetura eletrônica"
"multi-mídia","4","multi-mídia"
"faróis de neblina","4","faróis de neblina"
"assistente de mudança involuntária","4","assistente de mudança involuntária"
"controle de cruzeiro","4","controle de cruzeiro"
"leitor de sinais de trânsito","4","leitor de sinais de trânsito"
"navegador GPS","4","navegador GPS","GPS","GPS integrado"
"assistente de partida em rampas","4","assistente de partida em rampas"
"pacote tecnológico","4","pacote tecnológico"
"acessórios  tecnológicos","4","acessórios  tecnológicos"
"capota marítima","4","capota marítima"
"sensor de chuva","4","sensor de chuva"
"retrovisor eletrocrômico","4","retrovisor eletrocrômico"
"ar condicionado","4","ar condicionado","ar-condicionado","ar digital"
"partida remota","4","partida remota"
